seed,total_patients,overall_average_service_time,overall_average_waiting_time,overall_average_system_time,doctor_mean_service_time,doctor_utilization,nurse_time,ctas1_patient_count,ctas1_mean_waiting,ctas1_mean_service,ctas1_mean_whole,ctas1_mean_nurse,ctas1_mean_bed,ctas2_patient_count,ctas2_mean_waiting,ctas2_mean_service,ctas2_mean_whole,ctas2_mean_nurse,ctas2_mean_bed,ctas3_patient_count,ctas3_mean_waiting,ctas3_mean_service,ctas3_mean_whole,ctas3_mean_nurse,ctas3_mean_bed,ctas4_patient_count,ctas4_mean_waiting,ctas4_mean_service,ctas4_mean_whole,ctas4_mean_nurse,ctas4_mean_bed,ctas5_patient_count,ctas5_mean_waiting,ctas5_mean_service,ctas5_mean_whole,ctas5_mean_nurse,ctas5_mean_bed
1,611,25.1647434748758,27.026057811426842,94.81223080252357,3873.1070188775284,0.3842368074283263,24.151544267893,3,0.8554263381035222,80.91405324775378,152.4587555900131,0.8554263381034138,70.68927600415626,91,9.79608953981959,36.95952093485268,117.66067954729004,7.346055353464349,70.90506907261783,345,23.057070019811352,27.0231172927678,103.08414866031798,20.45003976588314,53.00396134773878,165,45.27420778128148,14.371318341052591,66.15570671211218,41.443741615488754,6.510180589778012,7,27.71106498536366,10.765243722241475,40.86457420860851,27.436449388247038,2.388265501003382
2,711,24.297985651511674,25.47842734735716,102.30513790108472,4318.966949556201,0.4284689434083533,22.963263499345665,2,2.6921867910587025,77.25826403529602,137.86637229216467,2.221562805393382,57.91592146581044,109,8.892722834621864,28.53509753080484,121.81947960478466,7.46527004323555,84.39165923935806,413,22.473774011356397,26.733129004035877,112.78522394246909,19.879491319069412,63.57832092707674,175,41.947000346239875,16.44816504970112,68.54118918206176,38.851232685983895,10.14602378612084,12,43.17307951107265,7.651206410997562,50.824285922070125,41.62726274070497,0.0
3,676,25.973066048254793,27.699244464543106,106.64781507442959,4407.386703993612,0.4372407444438107,22.894276012957985,5,1.6226233230521756,195.1330316867204,323.12316503817203,1.5938910415904997,126.3675100283991,114,8.017978990571304,37.72210762410267,137.62674841302405,6.927157570030718,91.8866617983501,385,25.410015821066423,26.052901972517486,112.88366363439367,20.99822186840899,61.420745840809744,155,45.73814238016712,13.729536741047248,65.78433291110676,38.73516120093969,6.316653789892417,17,54.72108096789859,7.256574515139821,66.59269091621718,34.741162416766315,4.615035433178915
4,724,26.18088504244518,28.4114523989533,100.45212610337985,4772.981900173239,0.47351010914417047,23.89651838765272,6,1.5521894063995205,136.75263318990392,155.89482806206766,1.5463050017758198,17.590005465764133,118,7.954468508096428,41.57615144088701,119.11254756198153,6.64250414719278,69.58192761299804,385,24.61360970249647,27.003673580151187,113.37245358550156,20.706109817415527,61.755170302853934,200,47.14948366311703,13.453685457549568,66.09267576387852,39.57467116045789,5.489506643211906,15,47.72097655759123,9.420512113206657,57.983995664465695,41.41329876564073,0.842506993668094
5,707,26.147597311399707,29.20017476186616,106.69889420106799,4646.473049512712,0.4609596279278484,23.386848430239336,5,4.875170412524676,41.97465084183365,74.53627019583618,4.875170412524929,27.686448941478783,115,8.721528329311663,37.61728001912112,125.4081797003006,6.513993217962575,79.06937135186776,403,26.290447419132878,27.686341741824858,118.80023834159338,19.82591478355264,64.8234491806357,164,50.985273381084525,15.60798979704348,72.38584472927282,43.77330440698831,5.792581551144804,20,33.02684011487499,11.65923970404732,44.68607981892237,29.617559376654764,0.0
6,691,23.90262332372813,24.96657567940899,101.09448031147576,4154.383392685351,0.41214120959180073,21.493685240278367,10,2.0859894253148012,64.65708218961385,120.36593503491895,2.058852012261421,53.622863419990246,107,9.793075230006277,34.06854995434992,120.05593351602492,7.780206159071027,76.19430833166875,385,22.30504729555316,24.40397799585924,114.17061726009678,18.732371327447357,67.46159196868443,176,38.65410536183245,15.07310358135721,61.829122866087694,34.603596448513095,8.101913922898012,13,60.97069985671624,13.569945458452501,74.54064531516899,53.60538352950774,0.0
7,751,26.430524523153327,30.418195872068196,107.97594217047791,4982.701101809902,0.4943155854970141,22.299365108963695,9,3.6822615074581537,94.9308470818345,133.28075727853098,3.5951190233252968,34.667648689238185,108,10.95134653159721,41.479420427566545,137.1271540268419,7.850950651213761,84.6963870676783,453,27.495434818649137,26.255820525642868,115.67367588605504,19.903263493792238,61.92242054176301,167,50.66360115154952,14.496158905332782,70.45031889144316,38.261083913606456,5.2905588345608985,14,50.85185398476915,14.315975119118447,65.37819202637469,32.91321993075427,0.21036292248700403
8,642,26.955291080356623,33.02635200647055,111.4700056157283,4337.900165623789,0.4303472386531536,22.37276270711023,6,2.4474246696884925,38.08710239225274,73.59367993906501,2.390892084425308,33.05915287712373,109,10.624378047541674,45.23956048139276,139.52172101555175,6.547773314530202,83.65778248661735,362,32.00105129216299,26.370559039344993,119.45801068916246,21.435873717387363,61.08640035765438,155,50.63223854981944,16.231289703575715,77.155047437658,36.16847051491149,10.291519184262771,10,59.779868996890585,8.36698904664986,71.14817126542384,26.93617986689166,3.0013132218839256
9,700,24.442061359200025,29.13096066877724,101.32830380563934,4337.53876187677,0.43031138510682243,22.456111015560978,12,2.951530871992418,98.65476177306414,152.91541050180345,2.888572372706184,51.309117856747214,108,9.28584343340784,38.40697387288451,141.2207206709828,7.122556813313314,93.52790336469062,372,26.49574129731154,23.97063187474961,107.21645293270781,19.792194286035365,56.750079760646656,195,45.60417123012966,14.044196961830675,67.85834047778276,37.06273997056036,8.20997228582244,13,46.47337341514895,9.379935917529316,55.85330933267827,25.034472147534355,0.0
10,729,24.485247974869853,26.72580553660187,102.33459077878135,4487.983328076486,0.4452364412774292,22.113418639108737,8,2.4244221958053913,36.55182684851819,143.86924249150093,2.387464271830411,104.89299344717743,124,10.008392991365357,37.19518052787499,132.3054738921689,7.245336374896299,85.1019003729285,408,23.53030962047214,25.363466295342857,108.91805492522519,18.933993497677577,60.024279009410215,181,45.88298204825434,13.935736862734021,67.41163236405436,39.7158736487596,7.592913453066025,8,39.68625647504359,9.308269097592113,50.626513473117484,36.189785721318664,1.6319879004816142
