seed,total_patients,overall_average_service_time,overall_average_waiting_time,overall_average_system_time,doctor_mean_service_time,doctor_utilization,nurse_time,ctas1_patient_count,ctas1_mean_waiting,ctas1_mean_service,ctas1_mean_whole,ctas1_mean_nurse,ctas1_mean_bed,ctas2_patient_count,ctas2_mean_waiting,ctas2_mean_service,ctas2_mean_whole,ctas2_mean_nurse,ctas2_mean_bed,ctas3_patient_count,ctas3_mean_waiting,ctas3_mean_service,ctas3_mean_whole,ctas3_mean_nurse,ctas3_mean_bed,ctas4_patient_count,ctas4_mean_waiting,ctas4_mean_service,ctas4_mean_whole,ctas4_mean_nurse,ctas4_mean_bed,ctas5_patient_count,ctas5_mean_waiting,ctas5_mean_service,ctas5_mean_whole,ctas5_mean_nurse,ctas5_mean_bed
1,608,25.111805823006087,30.393827488006888,105.32589915904691,5119.0547251524085,0.5078427306698818,23.070537276397626,4,2.163796675073627,31.780534215285726,50.759230810055215,2.160190476418002,16.814899919695822,98,11.367075244258169,35.86226923401996,144.0386082572992,8.04709541824087,96.80926377902118,355,27.811738945558943,26.846737753286344,110.63099570645862,20.20256832331266,55.97251900761331,142,49.95301499943145,13.947646471239725,69.79117031877534,40.43695520714392,5.890508848104224,9,43.36923294198924,12.799524139989794,59.4418327984527,35.07457299622769,3.2730757164735653
2,699,24.805158454167554,39.5888916134065,105.12228369271755,5822.006208271618,0.5775799809793272,21.726468779116907,7,3.6539160721929096,37.97506241390313,78.21583750884695,3.6539160721929465,36.58685902275043,108,11.916150412840125,34.9452228281509,105.34656137369696,7.35414131607206,58.48518813270599,403,36.81400542722275,26.641314413400554,113.95437345151223,18.817453651054453,50.49905361088886,166,63.4093244264501,14.623507716769044,87.34252110283101,37.22764759857234,9.309688959611886,15,66.54143591450496,8.996284502761032,75.53772041726589,40.250245281575346,0.0
3,686,28.00946918568676,49.682934296405115,131.37393558183285,6456.9905565894705,0.6405744599791142,22.70301500647275,5,3.5828485659716534,117.01340051996996,169.8523457871557,3.582848565971169,49.25609670121358,112,15.000045664095378,49.42187222334586,127.58478385390423,6.905068017132772,63.16286596646292,396,48.606495465088926,26.094054537829322,145.074292082551,20.3289736228448,70.37374207963272,162,76.25509478220863,16.30829721078726,102.66837770372297,39.93451929679016,10.104985710727176,11,71.18872829385046,10.817220421689553,82.00594871554048,23.93825026954872,0.0
4,725,25.96575155953733,52.46439928373264,122.66215043130111,6301.190166174444,0.6251180720411155,23.878499691423556,3,1.7543347259470465,39.348730751131484,169.59630321501268,1.6759067234616787,128.49323773793563,115,13.130995207507942,38.525634137516725,128.08945695034683,7.540776769438535,76.43282760532222,400,46.172748749255476,27.81993038599325,128.12995820404947,19.775384948481264,54.137279068800744,193,85.29462082117524,15.334828187969338,107.03046448458981,41.68418044957936,6.401015475445287,14,113.60005067684935,13.505840565811935,127.29426261519802,34.606744390352624,0.1883713725364667
5,727,25.527096901185278,58.731590500475335,136.06662722293547,6209.184058743755,0.6159904820182296,23.236867999728926,5,4.874004830211197,69.8222080145448,137.71005335962437,4.780385129586035,63.01384051486898,115,12.91333404104839,35.38810144494267,134.8265846675829,6.31804755554788,86.5251491815917,407,58.47410895923293,27.649631265545512,150.03921179363283,20.779322544996127,63.915471568854464,182,81.51388533676386,14.923540274645285,104.0184219797265,38.41495577823415,7.580996368317408,18,141.88740984861792,9.44291588100552,151.6399159547307,38.556634100830884,0.30959022510743806
6,690,24.87258850814738,33.5041422604163,114.22439940842666,5755.965192730476,0.5710282929296105,20.520856383854312,12,3.162931294980505,38.37285902592298,80.42245380483489,3.0082470632007934,38.886663483931166,115,11.612140667535135,38.34326893983342,145.13740716075372,7.173506146785873,95.18199755338499,385,30.411590661430864,25.78237335238274,122.55393110899134,17.62758618509591,66.35996709517778,165,56.39806576938405,13.507990671183311,79.4438403764192,36.136095951468086,9.537783935851843,13,56.18181159859132,10.546433293628722,66.72824489221995,42.2509399974254,0.0
7,745,25.230342832155284,79.86196096371303,154.68569511477276,6301.212262552767,0.6251202641421397,23.238071461531636,9,2.892961620272116,75.57620763206542,128.04678323906288,2.892961620272681,49.57761398672508,115,15.892919725806323,38.00867678906188,125.2900648876204,7.927539056861859,71.38846837275219,424,73.30993981991989,24.726256581899538,161.44712872228624,20.225492793486488,63.410932320466806,182,124.44711504153116,16.99159022611032,149.1583142784045,39.881433907187834,7.719609010762968,15,260.7099382474222,11.267966576499681,271.9779048239219,36.04197847820306,0.0
8,642,26.65084857277604,52.995752700991005,130.5027311718104,5718.917502137175,0.5673529267993229,21.623160448315318,4,4.08967794695991,138.33136204146814,177.42941929059316,4.089677946959617,35.00837930216599,120,13.101076634221984,39.08750109715639,136.94504884881854,6.446625926738613,84.7564711174403,352,53.169186446239046,27.213354186533422,141.23943081007326,19.759948491515534,60.85689017730079,150,78.58883600830055,14.162534591735845,98.86603727225305,37.717178490893694,6.114666672216629,16,120.68164348878236,10.158646342339795,130.8402898311224,29.939783885902443,0.0
9,703,25.677510504535157,56.32296703612696,139.7381602102916,6087.248084470472,0.603893659173658,21.484285140825094,11,3.018541119848206,60.5369771270175,120.60732566771748,3.0032525949401947,57.051807420851425,129,13.049731717430433,36.07044462421923,143.7181918147447,6.708923079116447,94.5980154730952,371,57.69833397798408,26.943544364256912,156.46318136341728,19.862760174682798,71.82130302117628,174,87.86712099094794,14.723256319053311,108.98792684008455,36.840727909428644,6.3975495300833,18,65.74808468185357,9.688567839564136,75.43665252141788,23.644162066765286,0.0
10,733,25.735228645572377,50.0538135238705,123.16839891862378,6357.7847499258605,0.6307326140799465,22.526376379904416,8,2.5580683221312484,98.71484652167803,151.73702889723177,2.5580683221310254,50.46411405342276,131,13.84764445085769,34.79210322732317,109.7021468278005,8.262983556212408,61.062399149619694,401,46.871759285650306,25.95740992069969,134.83078620726837,19.494506569073966,62.00161700091842,176,82.43322125362259,16.51634029582181,107.05617794124832,39.66177777008837,8.106616391803913,17,91.24217230437159,11.802413646269502,105.20743264453952,35.94991013499118,2.162846693898394
